density,conductivity,solvent1,solvent2,solvent3,solvent4,solvent5,solvent6,solvent7,solvent8,additive1,additive2,additive3,additive4,additive5,additive6,additive7,additive8,additive9,additive10,additive11,additive12,additive13,additive14,additive15,additive16,additive17,additive18,additive19,additive20,additive21,additive22,additive23,additive24,additive25,additive26,additive27,LiPF6,additive28,additive29,additive30,additive31,additive32,additive33,additive34,additive35,additive36
1.2177,7.71,24.27,0,16.18,40.45,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.5,0,0,14.5,0,0,1.4,0,0,0,0,0,0
1.2233,7.51,23.88,0,15.92,39.8,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,2,0.8,0,0,14,0,0,0,0,0,0,0,0,0
1.1449,6.16,19.05,0,38.1,0,0,11.43,0,7.62,0,0,3.5,0,0,5,0,0.2,0,0,0,0,2,0,0,5,1.5,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0
1.1757,7.68,26.6,0,25,15,15,0,0,0,0,0,3,0.8,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,13.5,0,0,0,0,0,0,0,0,0
1.1742,7.65,26.6,0,25,15,14.5,0,0,0,0,0,2.5,0.8,0,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,13.5,0,0,0,0,0,0,0,0,0
1.2056,7.97,23.4,0,15.6,39,0,0,0,5,0,0,0,0,0,1,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,13.5,0,0,0,0,0,0,0,0.5,0
1.2055,8.03,23.46,0,15.64,39.1,0,0,0,5,0,0,0,0,0,1,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.5,0,0,13.5,0,0,0,0,0,0,0,0.5,0
1.2073,7.78,23.37,0,15.58,38.95,0,0,0,5,0,0,0,0,0,1,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.5,0,0,13.5,0,0,0,0,0,0,0,0.5,0
1.2094,7.88,23.16,0,15.44,38.6,0,0,0,5,0,0,1,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,13.5,0,0,0,0,0,0,0,0.5,0
1.1829,7.38,15.44,0,15.44,46.32,0,0,0,5,0,0,1,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,13.5,0,0,0,0,0,0,0,0.5,0
1.2093,7.85,23.07,0,15.38,38.45,0,0,0,5,0,0,1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,13.5,0,0,0,0,0,0,0,0.5,0
1.2071,7.82,23.43,0,15.62,39.05,0,0,0,5,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,13.5,0,0,0,0,0,0,0,0.5,0
1.2037,7.9,23.67,0,15.78,39.45,0,0,0,5,0,0,0,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,13.5,0,0,0,0,0,0,0,0.5,0
1.2047,8.01,23.85,0,15.9,39.75,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,13.5,0,0,0,0,0,0,0,0,0
1.7128,6.8,16.11,0,19.11,47.66,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.92,0.5,0,0,0,0,0,0.5,0,0
1.1954,9.12,25.65,0,0,59.85,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0
1.2517,10.23,30,15,0,34,0,0,0,4,0,0,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0
1.2189,7.77,7.5,0,15,37.5,0,0,0,15,0,0,1.5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0,14.5,0,0,0,0,0,0,0,0,0
1.1938,8.65,25.3,0,18.29,37.64,0,0,0,4.27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0
